,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
0,0,Кофейня как Бизнес · 90 м²,37 000 000〒,Баймагамбетова 158,1,90.0,1
1,1,Действующее кафе · 200 м²,200 000 000〒,Самарское 1,1,200.0,1
2,2,Офисные помещения · 70.29 м²,47 783 600〒,проспект елорда 6,1,70.29,1
3,3,"Магазин, СТО с домом с мебелью и со всеми удобствами под кафе · 16 м²",80 000 000〒,"Абайский р-н, мкр Ынтымак  14",1,16.0,1
4,4,Ресторан 1465 · 475 м²,60 000 000〒,11ул 37/2,1,475.0,1
5,5,Действующий бизнес · 100 м²,35 000 000〒,"Сарайшык р-н, Анет баба 13/2",1,100.0,1
6,6,Готовый бизнес · 140 м²,29 000 000〒,"Есильский р-н, Туран 55/1",1,140.0,1
7,7,Готовый функционирующий БИЗНЕС · 9000 м²,600 000 000〒,Алтынсарина 20,1,9000.0,1
8,8,Выгодный Бизнес - Трон Кегеля Оригинал · 6 м²,2 500 000〒,"Есильский р-н, мкр Комсомольский 28",1,6.0,1
9,9,Готовый бизнес · 418 м²,115 000 000〒,"Сарыарка р-н, Шугыла 23/2",1,418.0,1
10,10,Помещение участок и бизнес Аква ферма по выращиванию форели · 15000 м²,600 000 000〒,Учетный Квартал 045 2595,1,15000.0,1
11,11,Магазин · 125 м²,45 000 000〒,"Наурызбайский р-н, мкр Шугыла, ЖК Шугыла сити 340/4",1,125.0,1
12,12,Действующий бизнес мини маркет · 103 м²,13 500 000〒,"Сарыарка р-н, Кенесары 6",1,103.0,1
13,13,Действующий бизнес - пекарню · 226 м²,60 000 000〒,"р-н Байконур, Кенесары 63",1,226.0,1
14,14,"Действующий бизнес, цветочный магазин · 110 м²",8 500 000〒,"Есильский р-н, Ақмешіт 5",1,110.0,1
15,15,АГЗС · 15000 м²,35 000 000〒,"жилой массив Акжар-2, Акжар 2 1К",1,15000.0,1
16,16,Готовый прибыльный товарный бизнес! · 60 м²,12 000 000〒,Северное кольцо 8 1,1,60.0,1
17,17,Действующий бизнес. Фаст фуд павильон 28м2 · 28 м²,9 000 000〒,"Медеуский р-н, мкр Самал-3 1",1,28.0,1
18,18,КХ/ШК · 100000 м²,90 000 000〒,Липового 7,1,100000.0,1
19,19,Магазин женской одежды · 100 м²,10 900 000〒,"Есильский р-н, Улы Дала 41/2",1,100.0,1
20,20,Алаколь · 1 м²,75 000 000〒,База 1,1,1.0,1
21,21,Кофейня · 100 м²,12 000 000〒,"Алматы р-н, Момышулы 14",1,100.0,1
22,22,Торговый павильон · 55 м²,3 700 000〒,"р-н Байконур, Шоссе Алаш 52",1,55.0,1
