Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
0,0,Кофейня как Бизнес · 90 м²,37000000.0,Баймагамбетова 158,1,90.0,1,411111.1111111111,комфорт,низкий,средняя
1,1,Действующее кафе · 200 м²,200000000.0,Самарское 1,1,200.0,1,1000000.0,элит,низкий,большая
2,2,Офисные помещения · 70.29 м²,47783600.0,проспект елорда 6,1,70.29,1,679806.5158628538,элит,низкий,средняя
3,3,"Магазин, СТО с домом с мебелью и со всеми удобствами под кафе · 16 м²",80000000.0,"Абайский р-н, мкр Ынтымак  14",1,16.0,1,5000000.0,элит,низкий,малая
4,4,Ресторан 1465 · 475 м²,60000000.0,11ул 37/2,1,475.0,1,126315.78947368421,комфорт,низкий,большая
5,5,Действующий бизнес · 100 м²,35000000.0,"Сарайшык р-н, Анет баба 13/2",1,100.0,1,350000.0,комфорт,низкий,средняя
6,6,Готовый бизнес · 140 м²,29000000.0,"Есильский р-н, Туран 55/1",1,140.0,1,207142.85714285713,комфорт,низкий,большая
7,7,Готовый функционирующий БИЗНЕС · 9000 м²,600000000.0,Алтынсарина 20,1,9000.0,1,66666.66666666667,комфорт,низкий,большая
8,8,Выгодный Бизнес - Трон Кегеля Оригинал · 6 м²,2500000.0,"Есильский р-н, мкр Комсомольский 28",1,6.0,1,416666.6666666667,комфорт,низкий,малая
9,9,Готовый бизнес · 418 м²,115000000.0,"Сарыарка р-н, Шугыла 23/2",1,418.0,1,275119.6172248804,комфорт,низкий,большая
10,10,Помещение участок и бизнес Аква ферма по выращиванию форели · 15000 м²,600000000.0,Учетный Квартал 045 2595,1,15000.0,1,40000.0,комфорт,низкий,большая
11,11,Магазин · 125 м²,45000000.0,"Наурызбайский р-н, мкр Шугыла, ЖК Шугыла сити 340/4",1,125.0,1,360000.0,комфорт,низкий,большая
12,12,Действующий бизнес мини маркет · 103 м²,13500000.0,"Сарыарка р-н, Кенесары 6",1,103.0,1,131067.96116504855,комфорт,низкий,большая
13,13,Действующий бизнес - пекарню · 226 м²,60000000.0,"р-н Байконур, Кенесары 63",1,226.0,1,265486.7256637168,комфорт,низкий,большая
14,14,"Действующий бизнес, цветочный магазин · 110 м²",8500000.0,"Есильский р-н, Ақмешіт 5",1,110.0,1,77272.72727272728,комфорт,низкий,большая
15,15,АГЗС · 15000 м²,35000000.0,"жилой массив Акжар-2, Акжар 2 1К",1,15000.0,1,2333.3333333333335,комфорт,низкий,большая
16,16,Готовый прибыльный товарный бизнес! · 60 м²,12000000.0,Северное кольцо 8 1,1,60.0,1,200000.0,комфорт,низкий,средняя
17,17,Действующий бизнес. Фаст фуд павильон 28м2 · 28 м²,9000000.0,"Медеуский р-н, мкр Самал-3 1",1,28.0,1,321428.5714285714,комфорт,низкий,малая
