Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
4-комнатный дом · 110 м²,34999000.0,"п. Жана Куат, 25ая улица 898Б",0,110.0,1,318172.7272727273,комфорт,низкий,большая
4-комнатный дом · 132.8 м²,44000000.0,"Побережье Каспийского моря, рядом с Rixos Water World",0,132.8,1,331325.30120481923,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 148 м² · 8 сот.,51999999.0,"Медеуский р-н, мкр Думан-1, Акмешит 41/4 — Алатау",4,148.0,1,351351.3445945946,комфорт,низкий,большая
Отдельный дом · 6 комнат · 160 м² · 8 сот.,32000000.0,Егемен 19,6,160.0,1,200000.0,комфорт,низкий,большая
Отдельный дом · 8 комнат · 339.6 м² · 8 сот.,251000000.0,"Бостандыкский р-н, мкр Баганашыл",8,339.6,1,739104.8292108362,элит,низкий,большая
Отдельный дом · 4 комнаты · 60 м² · 7.2 сот.,23000000.0,Саттаровой 46,4,60.0,1,383333.3333333333,комфорт,низкий,средняя
Дача · 4 комнаты · 111 м² · 8 сот.,30000000.0,"Бостандыкский р-н, мкр Ерменсай, Прифермская 7 — Выше Ремизовки, в дачном массиве",4,111.0,1,270270.2702702703,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 180.7 м² · 9 сот.,35000000.0,"мкр Мирас, Женис 3",4,180.7,1,193691.2008854455,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 160 м² · 10 сот.,42500000.0,Мкр Толқын 40,4,160.0,1,265625.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 61.4 м² · 8.45 сот.,21000000.0,Мвкашева,4,61.4,1,342019.54397394136,комфорт,низкий,средняя
Отдельный дом · 5 комнат · 480 м² · 9 сот.,600300000.0,"Медеуский р-н, мкр Коктобе, Ул.СагдатаНурмаганбетова 45 — Толе Би",5,480.0,1,1250625.0,элит,низкий,большая
Отдельный дом · 7 комнат · 636 м² · 14 сот.,335000000.0,"Бостандыкский р-н, мкр Баганашыл, Мкр Баганашыл улица Мамыр 1 — Garden Villa",7,636.0,1,526729.5597484277,элит,низкий,большая
Отдельный дом · 7 комнат · 235 м² · 6 сот.,140000000.0,"Ауэзовский р-н, мкр Таугуль-3",7,235.0,1,595744.6808510638,элит,низкий,большая
Отдельный дом · 7 комнат · 220 м² · 6 сот.,79999998.0,"Бостандыкский р-н, Бактыгереева",7,220.0,1,363636.35454545455,комфорт,низкий,большая
Часть дома · 6 комнат · 150 м² · 5 сот.,73000000.0,"Алматы р-н, Жанкент 98/2 — Жумабаева",6,150.0,1,486666.6666666667,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 71 м² · 7 сот.,35000000.0,Курши Даулеткерей 134 — Гаражная,4,71.0,1,492957.74647887325,комфорт,низкий,средняя
Отдельный дом · 5 комнат · 145 м² · 8 сот.,33000000.0,Егемендик 16,5,145.0,1,227586.2068965517,комфорт,низкий,большая
Отдельный дом · 6 комнат · 300 м² · 3 сот.,92000000.0,Абдолова,6,300.0,1,306666.6666666667,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 68.5 м² · 6 сот.,11000000.0,Тульская,3,68.5,1,160583.9416058394,комфорт,низкий,средняя
Отдельный дом · 4 комнаты · 106.3 м² · 5 сот.,39500000.0,РозыЛюксембург — Переулок,4,106.3,1,371589.8400752587,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 230 м² · 8 сот.,71000000.0,"Алатауский р-н, мкр Ожет, Мкр Ожет, ул. Балпык би 61",4,230.0,1,308695.652173913,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 220 м² · 10 сот.,66000000.0,"мкр Кокарна, С/о Мелиоратор 15a",4,220.0,1,300000.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 130 м² · 6 сот.,45000000.0,Кулагер 13 — Байдибек баба,4,130.0,1,346153.8461538461,комфорт,низкий,большая
4-комнатный дом · 110 м²,34999000.0,"п. Жана Куат, 25ая улица 898Б",0,110.0,1,318172.7272727273,комфорт,низкий,большая
Отдельный дом · 10 комнат · 250 м² · 10 сот.,55000000.0,Майг 22 — Коркыт ата,10,250.0,1,220000.0,комфорт,низкий,большая
4-комнатный дом · 132.8 м²,44000000.0,"Побережье Каспийского моря, рядом с Rixos Water World",0,132.8,1,331325.30120481923,комфорт,низкий,большая
Отдельный дом · 7 комнат · 330 м² · 1 сот.,96000000.0,1Б мкр 4 — Рядом с санатории Шағала,7,330.0,1,290909.0909090909,комфорт,низкий,большая
Отдельный дом · 6 комнат · 168 м² · 875 сот.,10000000.0,403 17 — Микр Атырау,6,168.0,1,59523.80952380953,комфорт,низкий,большая
Отдельный дом · 5 комнат · 160 м² · 10 сот.,35000000.0,Айша бибі 66а — Жанкулиева,5,160.0,1,218750.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 175 м² · 5 сот.,33000000.0,"71-й Разъезд, Кокозек",4,175.0,1,188571.42857142858,комфорт,низкий,большая
Отдельный дом · 5 комнат · 187.1 м² · 5 сот.,128888888.0,ХАМРАЕВА 154,5,187.1,1,688877.006948156,элит,низкий,большая
Часть дома · 4 комнаты · 300 м² · 2 сот.,185000000.0,"Бостандыкский р-н, Нур алатау 32",4,300.0,1,616666.6666666666,элит,низкий,большая
Отдельный дом · 8 комнат · 400 м² · 30 сот.,110000000.0,Суюнбая — Заправка Газпром,8,400.0,1,275000.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 100 м² · 9 сот.,20000000.0,Туймебая,4,100.0,1,200000.0,комфорт,низкий,средняя
Отдельный дом · 5 комнат · 100 м² · 5 сот.,22000000.0,Алмалык 11а,5,100.0,1,220000.0,комфорт,низкий,средняя
Отдельный дом · 4 комнаты · 120 м² · 9 сот.,45000000.0,Восточная 13 — Зона отдыха первомайские пруды,4,120.0,1,375000.0,комфорт,низкий,большая
Часть дома · 3 комнаты · 90 м² · 25 сот.,9000000.0,Дзержинского 48,3,90.0,1,100000.0,комфорт,низкий,средняя
Отдельный дом · 3 комнаты · 83.8 м² · 3 сот.,5000000.0,8 км квартал А дом 41 — Магазин Титова,3,83.8,1,59665.87112171838,комфорт,низкий,средняя
Отдельный дом · 3 комнаты · 90 м² · 8 сот.,40000000.0,Райымбек 99,3,90.0,1,444444.44444444444,комфорт,низкий,средняя
Часть дома · 3 комнаты · 67.3 м² · 5.5 сот.,39000000.0,"Алатауский р-н, мкр Карасу",3,67.3,1,579494.7994056464,элит,низкий,средняя
Отдельный дом · 4 комнаты · 120 м² · 6 сот.,26000000.0,Байтурсунова 6 — Ак жол,4,120.0,1,216666.66666666666,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 80 м² · 8 сот.,20000000.0,"Енбекшинский р-н, мкр Бадам-1 ельтаи . жумагул ана — Жумагул ана",3,80.0,1,250000.0,комфорт,низкий,средняя
Отдельный дом · 4 комнаты · 144 м² · 1 сот.,120000000.0,Алатауская трасса 33ж в2/1,4,144.0,1,833333.3333333334,элит,низкий,большая
Отдельный дом · 5 комнат · 200 м² · 4 сот.,107000000.0,"Наурызбайский р-н, мкр Шугыла — По улице Сабденова, угол Алатау",5,200.0,1,535000.0,элит,низкий,большая
Отдельный дом · 3 комнаты · 60 м² · 8 сот.,39000000.0,"Каратауский р-н, мкр Нуртас, Аксункар 60",3,60.0,1,650000.0,элит,низкий,средняя
Отдельный дом · 4 комнаты · 45 м² · 10 сот.,14000000.0,Умит,4,45.0,1,311111.1111111111,комфорт,низкий,малая
Отдельный дом · 4 комнаты · 125 м² · 9 сот.,8500000.0,Шевченко 63,4,125.0,1,68000.0,комфорт,низкий,большая
Отдельный дом · 6 комнат · 360 м² · 9.5 сот.,115000000.0,Желтоксан 234,6,360.0,1,319444.44444444444,комфорт,низкий,большая
Отдельный дом · 6 комнат · 275 м² · 1 сот.,120000000.0,4А мкр 11а,6,275.0,1,436363.63636363635,комфорт,низкий,большая
Отдельный дом · 5 комнат · 160 м² · 6 сот.,55000000.0,Новостройка2 — Загородный дом,5,160.0,1,343750.0,комфорт,низкий,большая
Отдельный дом · 5 комнат · 200 м² · 8 сот.,79000000.0,"Абайский р-н, мкр Самал-3 — Изгилик Баулык",5,200.0,1,395000.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 120 м² · 8 сот.,25500000.0,"Жанаталап,СмагулСадвакасов",4,120.0,1,212500.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 110 м² · 6 сот.,85000000.0,"Сарыарка р-н, Щорса 33 — Кумисбекова - Богенбай батыра",4,110.0,1,772727.2727272727,элит,низкий,большая
Отдельный дом · 4 комнаты · 350 м² · 11 сот.,145000000.0,Красный партизан 4а,4,350.0,1,414285.71428571426,комфорт,низкий,большая
