Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
0,0,3-комнатная квартира · 77 м² · 4/9 этаж,70000000,"Бостандыкский р-н, мкр Алмагуль",3,77.0,4,Бостандыкский р-н,мкр Алмагуль,909090.9090909091,элит,средний,средняя
1,1,1-комнатная квартира · 50 м² · 9/10 этаж,26000000,"Наурызбайский р-н, Жунисова 8/6",1,50.0,9,Наурызбайский р-н,Жунисова 8/6,520000.0,комфорт,высокий,средняя
2,2,2-комнатная квартира · 47 м² · 3/4 этаж,26000000,"Турксибский р-н, мкр 13-й военный городок, Суюнбая 292а — Суюнбая 292а",2,47.0,3,Турксибский р-н,"мкр 13-й военный городок, Суюнбая 292а — Суюнбая 292а",553191.4893617021,комфорт,низкий,малая
3,3,2-комнатная квартира · 55.2 м² · 4/10 этаж,53000000,"Ауэзовский р-н, мкр №12, 12-й мкрн 26",2,55.2,4,Ауэзовский р-н,"мкр №12, 12-й мкрн 26",960144.9275362318,элит,средний,средняя
4,4,4-комнатная квартира · 160 м² · 5/16 этаж,65000000,"Наурызбайский р-н, мкр Шугыла, Жуалы",4,160.0,5,Наурызбайский р-н,"мкр Шугыла, Жуалы",406250.0,комфорт,средний,большая
5,5,3-комнатная квартира · 58.7 м² · 1/4 этаж,38000000,"Алмалинский р-н, Манаса 3 — Угол Шевченко",3,58.7,1,Алмалинский р-н,Манаса 3 — Угол Шевченко,647359.4548551958,комфорт,низкий,средняя
6,6,3-комнатная квартира · 77 м² · 1/9 этаж,45000000,"Алатауский р-н, мкр Зердели, Аркалык 137  кв 1/156",3,77.0,1,Алатауский р-н,"мкр Зердели, Аркалык 137  кв 1/156",584415.5844155845,комфорт,низкий,средняя
7,7,3-комнатная квартира · 60 м² · 5/5 этаж,42000000,"Жетысуский р-н, мкр Айнабулак-3 114",3,60.0,5,Жетысуский р-н,мкр Айнабулак-3 114,700000.0,элит,средний,средняя
8,8,4-комнатная квартира · 97 м² · 2/10 этаж,65000000,"Наурызбайский р-н, мкр Шугыла 340/3 к 5 — Улугбека",4,97.0,2,Наурызбайский р-н,мкр Шугыла 340/3 к 5 — Улугбека,670103.0927835051,комфорт,низкий,большая
9,9,2-комнатная квартира · 65 м² · 10/10 этаж,31000000,"Наурызбайский р-н, мкр Калкаман-1, Жунисова 4/9",2,65.0,10,Наурызбайский р-н,"мкр Калкаман-1, Жунисова 4/9",476923.07692307694,комфорт,высокий,средняя
10,10,1-комнатная квартира · 42.8 м² · 12/13 этаж,22500000,"Ауэзовский р-н, мкр Сайран, Райымбека 341 — Толе-би",1,42.8,12,Ауэзовский р-н,"мкр Сайран, Райымбека 341 — Толе-би",525700.9345794393,комфорт,высокий,малая
11,11,3-комнатная квартира · 86.4 м² · 2/18 этаж,86000000,"Ауэзовский р-н, мкр Сайран 5 — Утеген Батыра 11 Г",3,86.4,2,Ауэзовский р-н,мкр Сайран 5 — Утеген Батыра 11 Г,995370.3703703703,элит,низкий,большая
12,12,1-комнатная квартира · 50 м² · 3/10 этаж,32000000,"Алатауский р-н, мкр Акбулак, Чуланова",1,50.0,3,Алатауский р-н,"мкр Акбулак, Чуланова",640000.0,комфорт,низкий,средняя
13,13,2-комнатная квартира · 83 м² · 5/10 этаж,70000000,"Медеуский р-н, Назарбаева",2,83.0,5,Медеуский р-н,Назарбаева,843373.4939759036,элит,средний,большая
14,14,4-комнатная квартира · 114.04 м²,81082440,"Жетысуский р-н, Райымбека 219Б",4,114.04,0,Жетысуский р-н,Райымбека 219Б,711000.0,элит,низкий,большая
15,15,1-комнатная квартира · 43.73 м²,26281730,"Турксибский р-н, Тараз",1,43.73,0,Турксибский р-н,Тараз,601000.0,комфорт,низкий,малая
16,16,2-комнатная квартира · 47.5 м² · 7/10 этаж,40000000,"Наурызбайский р-н, Кенесары хана 54",2,47.5,7,Наурызбайский р-н,Кенесары хана 54,842105.2631578947,элит,средний,малая
17,17,1-комнатная квартира · 36.3 м² · 10/12 этаж,25500000,"Алатауский р-н, мкр Акбулак, 1-я улица 111",1,36.3,10,Алатауский р-н,"мкр Акбулак, 1-я улица 111",702479.3388429752,элит,высокий,малая
18,18,2-комнатная квартира · 70 м² · 1/7 этаж,35000000,"Алатауский р-н, Касыма Шарипова 206/9",2,70.0,1,Алатауский р-н,Касыма Шарипова 206/9,500000.0,комфорт,низкий,средняя
19,19,2-комнатная квартира · 59 м²,42000000,"Алатауский р-н, мкр Аккент, Шарипа Омарова 1 — Фаризы Онгарсыновой",2,59.0,0,Алатауский р-н,"мкр Аккент, Шарипа Омарова 1 — Фаризы Онгарсыновой",711864.406779661,элит,низкий,средняя
20,20,3-комнатная квартира · 97.7 м² · 14/16 этаж,96000000,"Бостандыкский р-н, Гагарина 233",3,97.7,14,Бостандыкский р-н,Гагарина 233,982599.7952917092,элит,высокий,большая
21,21,2-комнатная квартира · 44.5 м² · 4/5 этаж,31000000,"Жетысуский р-н, мкр Айнабулак-1 15",2,44.5,4,Жетысуский р-н,мкр Айнабулак-1 15,696629.213483146,комфорт,средний,малая
22,22,2-комнатная квартира · 73 м² · 4/10 этаж,43000000,"Ауэзовский р-н, мкр Сайран, Утеген батыра 73 11 — Толеби Утеген батыра",2,73.0,4,Ауэзовский р-н,"мкр Сайран, Утеген батыра 73 11 — Толеби Утеген батыра",589041.095890411,комфорт,средний,средняя
23,23,2-комнатная квартира · 78 м² · 4/9 этаж,43000000,"Наурызбайский р-н, мкр Шугыла 340/3к17",2,78.0,4,Наурызбайский р-н,мкр Шугыла 340/3к17,551282.0512820513,комфорт,средний,средняя
24,24,4-комнатная квартира · 128 м² · 10/16 этаж,130000000,"Бостандыкский р-н, Мусрепова 24 — Сатпаева",4,128.0,10,Бостандыкский р-н,Мусрепова 24 — Сатпаева,1015625.0,элит,высокий,большая
25,25,3-комнатная квартира · 87 м² · 2 этаж,120000000,"Бостандыкский р-н, Аль-Фараби 41",3,87.0,0,Бостандыкский р-н,Аль-Фараби 41,1379310.3448275863,элит,низкий,большая
26,26,3-комнатная квартира · 72 м² · 9/12 этаж,43500000,"Алатауский р-н, мкр Акбулак, Дарабоз 65 — Момышулы",3,72.0,9,Алатауский р-н,"мкр Акбулак, Дарабоз 65 — Момышулы",604166.6666666666,комфорт,высокий,средняя
27,27,1-комнатная квартира · 31 м² · 1/5 этаж,25500000,"Бостандыкский р-н, мкр Орбита-3 — проспект Аль-Фараби и Саина",1,31.0,1,Бостандыкский р-н,мкр Орбита-3 — проспект Аль-Фараби и Саина,822580.6451612903,элит,низкий,малая
28,28,1-комнатная квартира · 51 м² · 11/16 этаж,65000000,"Бостандыкский р-н, Розыбакиева 388/Б2",1,51.0,11,Бостандыкский р-н,Розыбакиева 388/Б2,1274509.8039215687,элит,высокий,средняя
29,29,5-комнатная квартира · 230.94 м²,392598000,"Медеуский р-н, Городская 3",5,230.94,0,Медеуский р-н,Городская 3,1700000.0,элит,низкий,большая
30,30,2-комнатная квартира · 57.33 м²,33824700,"Турксибский р-н, Тараз",2,57.33,0,Турксибский р-н,Тараз,590000.0,комфорт,низкий,средняя
31,31,1-комнатная квартира · 33.6 м² · 5/5 этаж,21000000,"Турксибский р-н, мкр Жулдыз-2, Дунентаева 22",1,33.6,5,Турксибский р-н,"мкр Жулдыз-2, Дунентаева 22",625000.0,комфорт,средний,малая
32,32,3-комнатная квартира · 76 м² · 3/5 этаж,80000000,"Алмалинский р-н, Ауэзова 69 — Шевченко",3,76.0,3,Алмалинский р-н,Ауэзова 69 — Шевченко,1052631.5789473683,элит,низкий,средняя
33,33,3-комнатная квартира · 83 м² · 5/5 этаж,79000000,"Алмалинский р-н, Желтоксан 129 — Столичный ЦГ",3,83.0,5,Алмалинский р-н,Желтоксан 129 — Столичный ЦГ,951807.2289156626,элит,средний,большая
34,34,2-комнатная квартира · 71.4 м² · 17/17 этаж,49000000,"Ауэзовский р-н, Навои — Джандосова",2,71.4,17,Ауэзовский р-н,Навои — Джандосова,686274.5098039216,комфорт,высокий,средняя
35,35,3-комнатная квартира · 54.79 м²,39667960,"Алатауский р-н, Бауыржана Момышулы 11/14а",3,54.79,0,Алатауский р-н,Бауыржана Момышулы 11/14а,724000.0,элит,низкий,средняя
36,36,4-комнатная квартира · 204.33 м²,126684600,Алатуская трасса п. Туздыбастау,4,204.33,0,,,620000.0,комфорт,низкий,большая
37,37,1-комнатная квартира · 96.58 м²,91751000,"Медеуский р-н, Жамакаева 254",1,96.58,0,Медеуский р-н,Жамакаева 254,950000.0,элит,низкий,большая
38,38,1-комнатная квартира · 45 м² · 1/9 этаж,32000000,"Наурызбайский р-н, Акбата 46/3 — Жандосова Ашимова",1,45.0,1,Наурызбайский р-н,Акбата 46/3 — Жандосова Ашимова,711111.1111111111,элит,низкий,малая
39,39,2-комнатная квартира · 51 м² · 5/9 этаж,34500000,"Наурызбайский р-н, мкр Шугыла 34 — Абая алатаускии",2,51.0,5,Наурызбайский р-н,мкр Шугыла 34 — Абая алатаускии,676470.5882352941,комфорт,средний,средняя
40,40,2-комнатная квартира · 76.7 м² · 13/18 этаж,48000000,"Алмалинский р-н, Брусиловского 167 — Шакарима",2,76.7,13,Алмалинский р-н,Брусиловского 167 — Шакарима,625814.8631029987,комфорт,высокий,средняя
41,41,2-комнатная квартира · 54 м² · 8/9 этаж,31000000,"Турксибский р-н, Сарыарка",2,54.0,8,Турксибский р-н,Сарыарка,574074.074074074,комфорт,высокий,средняя
