Title,Price,Location,Rooms,Area,Floor
4-комнатный дом · 110 м²,от 34 999 000〒,"п. Жана Куат, 25ая улица 898Б",0,110.0,1
4-комнатный дом · 132.8 м²,от 44 000 000〒,"Побережье Каспийского моря, рядом с Rixos Water World",0,132.8,1
Отдельный дом · 4 комнаты · 148 м² · 8 сот.,51 999 999〒,"Медеуский р-н, мкр Думан-1, Акмешит 41/4 — Алатау",4,148.0,1
Отдельный дом · 6 комнат · 160 м² · 8 сот.,32 000 000〒,Егемен 19,6,160.0,1
Отдельный дом · 8 комнат · 339.6 м² · 8 сот.,251 000 000〒,"Бостандыкский р-н, мкр Баганашыл",8,339.6,1
Отдельный дом · 4 комнаты · 60 м² · 7.2 сот.,23 000 000〒,Саттаровой 46,4,60.0,1
Дача · 4 комнаты · 111 м² · 8 сот.,30 000 000〒,"Бостандыкский р-н, мкр Ерменсай, Прифермская 7 — Выше Ремизовки, в дачном массиве",4,111.0,1
Отдельный дом · 4 комнаты · 180.7 м² · 9 сот.,35 000 000〒,"мкр Мирас, Женис 3",4,180.7,1
Отдельный дом · 4 комнаты · 160 м² · 10 сот.,42 500 000〒,Мкр Толқын 40,4,160.0,1
Отдельный дом · 4 комнаты · 61.4 м² · 8.45 сот.,21 000 000〒,Мвкашева,4,61.4,1
Отдельный дом · 5 комнат · 480 м² · 9 сот.,600 300 000〒,"Медеуский р-н, мкр Коктобе, Ул.СагдатаНурмаганбетова 45 — Толе Би",5,480.0,1
Отдельный дом · 7 комнат · 636 м² · 14 сот.,335 000 000〒,"Бостандыкский р-н, мкр Баганашыл, Мкр Баганашыл улица Мамыр 1 — Garden Villa",7,636.0,1
Отдельный дом · 7 комнат · 235 м² · 6 сот.,140 000 000〒,"Ауэзовский р-н, мкр Таугуль-3",7,235.0,1
Отдельный дом · 7 комнат · 220 м² · 6 сот.,79 999 998〒,"Бостандыкский р-н, Бактыгереева",7,220.0,1
Часть дома · 6 комнат · 150 м² · 5 сот.,73 000 000〒,"Алматы р-н, Жанкент 98/2 — Жумабаева",6,150.0,1
Отдельный дом · 4 комнаты · 71 м² · 7 сот.,35 000 000〒,Курши Даулеткерей 134 — Гаражная,4,71.0,1
Отдельный дом · 5 комнат · 145 м² · 8 сот.,33 000 000〒,Егемендик 16,5,145.0,1
Отдельный дом · 6 комнат · 300 м² · 3 сот.,92 000 000〒,Абдолова,6,300.0,1
Отдельный дом · 3 комнаты · 68.5 м² · 6 сот.,11 000 000〒,Тульская,3,68.5,1
Отдельный дом · 4 комнаты · 106.3 м² · 5 сот.,39 500 000〒,РозыЛюксембург — Переулок,4,106.3,1
Отдельный дом · 4 комнаты · 230 м² · 8 сот.,71 000 000〒,"Алатауский р-н, мкр Ожет, Мкр Ожет, ул. Балпык би 61",4,230.0,1
Отдельный дом · 4 комнаты · 220 м² · 10 сот.,66 000 000〒,"мкр Кокарна, С/о Мелиоратор 15a",4,220.0,1
Отдельный дом · 4 комнаты · 130 м² · 6 сот.,45 000 000〒,Кулагер 13 — Байдибек баба,4,130.0,1
4-комнатный дом · 110 м²,от 34 999 000〒,"п. Жана Куат, 25ая улица 898Б",0,110.0,1
Отдельный дом · 10 комнат · 250 м² · 10 сот.,55 000 000〒,Майг 22 — Коркыт ата,10,250.0,1
4-комнатный дом · 132.8 м²,от 44 000 000〒,"Побережье Каспийского моря, рядом с Rixos Water World",0,132.8,1
Отдельный дом · 7 комнат · 330 м² · 1 сот.,96 000 000〒,1Б мкр 4 — Рядом с санатории Шағала,7,330.0,1
Отдельный дом · 6 комнат · 168 м² · 875 сот.,10 000 000〒,403 17 — Микр Атырау,6,168.0,1
Отдельный дом · 5 комнат · 160 м² · 10 сот.,35 000 000〒,Айша бибі 66а — Жанкулиева,5,160.0,1
Отдельный дом · 4 комнаты · 175 м² · 5 сот.,33 000 000〒,"71-й Разъезд, Кокозек",4,175.0,1
Отдельный дом · 5 комнат · 187.1 м² · 5 сот.,128 888 888〒,ХАМРАЕВА 154,5,187.1,1
