,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
0,0,3-комнатная квартира · 77 м² · 4/9 этаж,70000000,"Бостандыкский р-н, мкр Алмагуль",3,77.0,4
1,1,1-комнатная квартира · 50 м² · 9/10 этаж,26000000,"Наурызбайский р-н, Жунисова 8/6",1,50.0,9
2,2,2-комнатная квартира · 47 м² · 3/4 этаж,26000000,"Турксибский р-н, мкр 13-й военный городок, Суюнбая 292а — Суюнбая 292а",2,47.0,3
3,3,2-комнатная квартира · 55.2 м² · 4/10 этаж,53000000,"Ауэзовский р-н, мкр №12, 12-й мкрн 26",2,55.2,4
4,4,4-комнатная квартира · 160 м² · 5/16 этаж,65000000,"Наурызбайский р-н, мкр Шугыла, Жуалы",4,160.0,5
5,5,3-комнатная квартира · 58.7 м² · 1/4 этаж,38000000,"Алмалинский р-н, Манаса 3 — Угол Шевченко",3,58.7,1
6,6,3-комнатная квартира · 77 м² · 1/9 этаж,45000000,"Алатауский р-н, мкр Зердели, Аркалык 137  кв 1/156",3,77.0,1
7,7,3-комнатная квартира · 60 м² · 5/5 этаж,42000000,"Жетысуский р-н, мкр Айнабулак-3 114",3,60.0,5
8,8,4-комнатная квартира · 97 м² · 2/10 этаж,65000000,"Наурызбайский р-н, мкр Шугыла 340/3 к 5 — Улугбека",4,97.0,2
9,9,2-комнатная квартира · 65 м² · 10/10 этаж,31000000,"Наурызбайский р-н, мкр Калкаман-1, Жунисова 4/9",2,65.0,10
10,10,1-комнатная квартира · 42.8 м² · 12/13 этаж,22500000,"Ауэзовский р-н, мкр Сайран, Райымбека 341 — Толе-би",1,42.8,12
11,11,3-комнатная квартира · 86.4 м² · 2/18 этаж,86000000,"Ауэзовский р-н, мкр Сайран 5 — Утеген Батыра 11 Г",3,86.4,2
12,12,1-комнатная квартира · 50 м² · 3/10 этаж,32000000,"Алатауский р-н, мкр Акбулак, Чуланова",1,50.0,3
13,13,2-комнатная квартира · 83 м² · 5/10 этаж,70000000,"Медеуский р-н, Назарбаева",2,83.0,5
14,14,4-комнатная квартира · 114.04 м²,81082440,"Жетысуский р-н, Райымбека 219Б",4,114.04,0
15,15,1-комнатная квартира · 43.73 м²,26281730,"Турксибский р-н, Тараз",1,43.73,0
16,16,2-комнатная квартира · 47.5 м² · 7/10 этаж,40000000,"Наурызбайский р-н, Кенесары хана 54",2,47.5,7
17,17,1-комнатная квартира · 36.3 м² · 10/12 этаж,25500000,"Алатауский р-н, мкр Акбулак, 1-я улица 111",1,36.3,10
18,18,2-комнатная квартира · 70 м² · 1/7 этаж,35000000,"Алатауский р-н, Касыма Шарипова 206/9",2,70.0,1
19,19,2-комнатная квартира · 59 м²,42000000,"Алатауский р-н, мкр Аккент, Шарипа Омарова 1 — Фаризы Онгарсыновой",2,59.0,0
20,20,3-комнатная квартира · 97.7 м² · 14/16 этаж,96000000,"Бостандыкский р-н, Гагарина 233",3,97.7,14
21,21,2-комнатная квартира · 44.5 м² · 4/5 этаж,31000000,"Жетысуский р-н, мкр Айнабулак-1 15",2,44.5,4
22,22,2-комнатная квартира · 73 м² · 4/10 этаж,43000000,"Ауэзовский р-н, мкр Сайран, Утеген батыра 73 11 — Толеби Утеген батыра",2,73.0,4
23,23,2-комнатная квартира · 78 м² · 4/9 этаж,43000000,"Наурызбайский р-н, мкр Шугыла 340/3к17",2,78.0,4
24,24,4-комнатная квартира · 128 м² · 10/16 этаж,130000000,"Бостандыкский р-н, Мусрепова 24 — Сатпаева",4,128.0,10
25,25,3-комнатная квартира · 87 м² · 2 этаж,120000000,"Бостандыкский р-н, Аль-Фараби 41",3,87.0,0
26,26,3-комнатная квартира · 72 м² · 9/12 этаж,43500000,"Алатауский р-н, мкр Акбулак, Дарабоз 65 — Момышулы",3,72.0,9
27,27,1-комнатная квартира · 31 м² · 1/5 этаж,25500000,"Бостандыкский р-н, мкр Орбита-3 — проспект Аль-Фараби и Саина",1,31.0,1
28,28,1-комнатная квартира · 51 м² · 11/16 этаж,65000000,"Бостандыкский р-н, Розыбакиева 388/Б2",1,51.0,11
29,29,5-комнатная квартира · 230.94 м²,392598000,"Медеуский р-н, Городская 3",5,230.94,0
30,30,2-комнатная квартира · 57.33 м²,33824700,"Турксибский р-н, Тараз",2,57.33,0
31,31,1-комнатная квартира · 33.6 м² · 5/5 этаж,21000000,"Турксибский р-н, мкр Жулдыз-2, Дунентаева 22",1,33.6,5
32,32,3-комнатная квартира · 76 м² · 3/5 этаж,80000000,"Алмалинский р-н, Ауэзова 69 — Шевченко",3,76.0,3
33,33,3-комнатная квартира · 83 м² · 5/5 этаж,79000000,"Алмалинский р-н, Желтоксан 129 — Столичный ЦГ",3,83.0,5
34,34,2-комнатная квартира · 71.4 м² · 17/17 этаж,49000000,"Ауэзовский р-н, Навои — Джандосова",2,71.4,17
35,35,3-комнатная квартира · 54.79 м²,39667960,"Алатауский р-н, Бауыржана Момышулы 11/14а",3,54.79,0
36,36,4-комнатная квартира · 204.33 м²,126684600,Алатуская трасса п. Туздыбастау,4,204.33,0
37,37,1-комнатная квартира · 96.58 м²,91751000,"Медеуский р-н, Жамакаева 254",1,96.58,0
38,38,1-комнатная квартира · 45 м² · 1/9 этаж,32000000,"Наурызбайский р-н, Акбата 46/3 — Жандосова Ашимова",1,45.0,1
39,39,2-комнатная квартира · 51 м² · 5/9 этаж,34500000,"Наурызбайский р-н, мкр Шугыла 34 — Абая алатаускии",2,51.0,5
40,40,2-комнатная квартира · 76.7 м² · 13/18 этаж,48000000,"Алмалинский р-н, Брусиловского 167 — Шакарима",2,76.7,13
41,41,2-комнатная квартира · 54 м² · 8/9 этаж,31000000,"Турксибский р-н, Сарыарка",2,54.0,8
42,42,4-комнатная квартира · 250 м²,152500000,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",4,250.0,0
43,43,1-комнатная квартира · 45 м² · 1/9 этаж,32000000,"Наурызбайский р-н, Акбата 46/3 — Жандосова Ашимова",1,45.0,1
44,44,2-комнатная квартира · 51 м² · 5/9 этаж,34500000,"Наурызбайский р-н, мкр Шугыла 34 — Абая алатаускии",2,51.0,5
45,45,2-комнатная квартира · 76.7 м² · 13/18 этаж,48000000,"Алмалинский р-н, Брусиловского 167 — Шакарима",2,76.7,13
46,46,2-комнатная квартира · 54 м² · 8/9 этаж,31000000,"Турксибский р-н, Сарыарка",2,54.0,8
47,47,4-комнатная квартира · 250 м²,152500000,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",4,250.0,0
48,48,1-комнатная квартира · 38 м² · 11/12 этаж,26000000,"Алатауский р-н, Улица Байтерекова, 73 — Улица Байтерекова, 73",1,38.0,11
49,49,1-комнатная квартира · 32.1 м² · 5/5 этаж,36000000,"Бостандыкский р-н, Гагарина",1,32.1,5
50,50,3-комнатная квартира · 58.5 м² · 4/4 этаж,50000000,"Алмалинский р-н, мкр Тастак-3, Ауэзова 64/1 — Шевченко",3,58.5,4
51,51,2-комнатная квартира · 52 м² · 10/10 этаж,32500000,"Турксибский р-н, Сейфуллина 51",2,52.0,10
52,52,2-комнатная квартира · 57 м² · 9/10 этаж,28999999,"Наурызбайский р-н, мкр Шугыла, Жунисова — Алатау",2,57.0,9
53,53,1-комнатная квартира · 43 м² · 2/5 этаж,28500000,"Медеуский р-н, мкр Думан-2 26 — Халык Арена",1,43.0,2
54,54,2-комнатная квартира · 79.93 м²,135881000,"Бостандыкский р-н, Радостовца 12",2,79.93,0
55,55,2-комнатная квартира · 81 м²,85050000,"Медеуский р-н, Оспанова 83/36",2,81.0,0
56,56,2-комнатная квартира · 82.5 м²,99000000,"Медеуский р-н, Сагадат Нурмагамбетов 71",2,82.5,0
57,57,1-комнатная квартира · 29.8 м²,11324000,"Алатауский р-н, Момышулы, севернее ул. Монке би",1,29.8,0
58,58,3-комнатная квартира · 118.8 м²,142560000,"Алмалинский р-н, Ади Шарипова 100",3,118.8,0
59,59,2-комнатная квартира · 65.28 м²,47654400,"Алатауский р-н, Ботакоз 2/1",2,65.28,0
60,60,5-комнатная квартира · 187 м² · 2/3 этаж,410525000,"Бостандыкский р-н, мкр Мирас 118",5,187.0,2
61,61,1-комнатная квартира · 39.1 м² · 4/9 этаж,35000000,"Алмалинский р-н, шевченко 129 — муканова",1,39.1,4
